Species ID;Species;Latin Name;Group;Subgroup;Subsubgroup;Family;Checklist ID;Date;Year;Month;Day;Site Ref;Site;County;Country;Life Stage;Aggregate Status
F0369;Grass Vetchling;Lathyrus nissolia;Plant;Flower;Flower;Fabaceae;C2;05.06.2023;2023;6;5;S0001;Woodham Fen;Essex;UK;Adult;Species
F0876;Salsify;Tragopogon porrifolius;Plant;Flower;Flower;Asteraceae;C2;05.06.2023;2023;6;5;S0001;Woodham Fen;Essex;UK;Adult;Species
G029;Perennial rye-grass;Lolium perenne;Plant;Grass et al;Grass;Poaceae;C2;05.06.2023;2023;6;5;S0001;Woodham Fen;Essex;UK;Adult;Species
G125;Meadow foxtail;Alopecurus pratensis;Plant;Grass et al;Grass;Poaceae;C2;05.06.2023;2023;6;5;S0001;Woodham Fen;Essex;UK;Adult;Species
G140;Soft-brome;Bromus hordeaceus;Plant;Grass et al;Grass;Poaceae;C2;05.06.2023;2023;6;5;S0001;Woodham Fen;Essex;UK;Adult;Species
G151;Barren Brome;Anisantha sterilis;Plant;Grass et al;Grass;Poaceae;C2;05.06.2023;2023;6;5;S0001;Woodham Fen;Essex;UK;Adult;Species
B27;Common Blue;Polyommatus icarus;Insect;Lepidoptera;Butterfly;Lycaenidae;C3;06.06.2023;2023;6;6;S0001;Woodham Fen;Essex;UK;Adult;Species
F0089;Hedge mustard;Sisymbrium officinale;Plant;Flower;Flower;Brassicaceae;C3;06.06.2023;2023;6;6;S0001;Woodham Fen;Essex;UK;Adult;Species
F0166;Hoary Cress;Cardaria draba;Plant;Flower;Flower;Brassicaceae;C3;06.06.2023;2023;6;6;S0001;Woodham Fen;Essex;UK;Adult;Species
F0369;Grass Vetchling;Lathyrus nissolia;Plant;Flower;Flower;Fabaceae;C3;06.06.2023;2023;6;6;S0001;Woodham Fen;Essex;UK;Adult;Species
F0384;White Clover;Trifolium repens;Plant;Flower;Flower;Fabaceae;C3;06.06.2023;2023;6;6;S0001;Woodham Fen;Essex;UK;Adult;Species
F1344;Yellow Buttonweed      ;Cotula coronopifolia;Plant;Flower;Flower;Asteraceae;C3;06.06.2023;2023;6;6;S0001;Woodham Fen;Essex;UK;Adult;Species
CT04;Unbranched Bur-reed ;Sparganium emersum;Plant;Grass et al;Cattail;Typhaceae;C3;06.06.2023;2023;6;6;S0001;Woodham Fen;Essex;UK;Adult;Species
G020;Red fescue;Festuca rubra;Plant;Grass et al;Grass;Poaceae;C3;06.06.2023;2023;6;6;S0001;Woodham Fen;Essex;UK;Adult;Species
G029;Perennial rye-grass;Lolium perenne;Plant;Grass et al;Grass;Poaceae;C3;06.06.2023;2023;6;6;S0001;Woodham Fen;Essex;UK;Adult;Species
G036;Crested Dog's-tail;Cynosurus cristatus;Plant;Grass et al;Grass;Poaceae;C3;06.06.2023;2023;6;6;S0001;Woodham Fen;Essex;UK;Adult;Species
G060;Cock's-foot;Dactylis glomerata;Plant;Grass et al;Grass;Poaceae;C3;06.06.2023;2023;6;6;S0001;Woodham Fen;Essex;UK;Adult;Species
G125;Meadow foxtail;Alopecurus pratensis;Plant;Grass et al;Grass;Poaceae;C3;06.06.2023;2023;6;6;S0001;Woodham Fen;Essex;UK;Adult;Species
G140;Soft-brome;Bromus hordeaceus;Plant;Grass et al;Grass;Poaceae;C3;06.06.2023;2023;6;6;S0001;Woodham Fen;Essex;UK;Adult;Species
G151;Barren Brome;Anisantha sterilis;Plant;Grass et al;Grass;Poaceae;C3;06.06.2023;2023;6;6;S0001;Woodham Fen;Essex;UK;Adult;Species
RU004;Saltmarsh Rush;Juncus gerardii;Plant;Grass et al;Rush;Juncaceae;C3;06.06.2023;2023;6;6;S0001;Woodham Fen;Essex;UK;Adult;Species
F0358;Common Vetch;Vicia sativa;Plant;Flower;Flower;Fabaceae;C4;08.06.2023;2023;6;8;S0002;Marsh Farm Country Park;Essex;UK;Adult;Species
F0369;Grass Vetchling;Lathyrus nissolia;Plant;Flower;Flower;Fabaceae;C4;08.06.2023;2023;6;8;S0002;Marsh Farm Country Park;Essex;UK;Adult;Species
F0530;Hemlock;Conium maculatum;Plant;Flower;Flower;Apiaceae;C4;08.06.2023;2023;6;8;S0002;Marsh Farm Country Park;Essex;UK;Adult;Species
F0699;Buck's-horn Plantain;Plantago coronopus;Plant;Flower;Flower;Plantaginaceae;C4;08.06.2023;2023;6;8;S0002;Marsh Farm Country Park;Essex;UK;Adult;Species
F0703;Ribwort Plantain;Plantago lanceolata;Plant;Flower;Flower;Plantaginaceae;C4;08.06.2023;2023;6;8;S0002;Marsh Farm Country Park;Essex;UK;Adult;Species
F1144;Sea-purslane;Halimione portulacoides;Plant;Flower;Flower;Amaranthaceae;C4;08.06.2023;2023;6;8;S0002;Marsh Farm Country Park;Essex;UK;Adult;Species
G029;Perennial rye-grass;Lolium perenne;Plant;Grass et al;Grass;Poaceae;C4;08.06.2023;2023;6;8;S0002;Marsh Farm Country Park;Essex;UK;Adult;Species
G060;Cock's-foot;Dactylis glomerata;Plant;Grass et al;Grass;Poaceae;C4;08.06.2023;2023;6;8;S0002;Marsh Farm Country Park;Essex;UK;Adult;Species
G125;Meadow foxtail;Alopecurus pratensis;Plant;Grass et al;Grass;Poaceae;C4;08.06.2023;2023;6;8;S0002;Marsh Farm Country Park;Essex;UK;Adult;Species
G140;Soft-brome;Bromus hordeaceus;Plant;Grass et al;Grass;Poaceae;C4;08.06.2023;2023;6;8;S0002;Marsh Farm Country Park;Essex;UK;Adult;Species
G151;Barren Brome;Anisantha sterilis;Plant;Grass et al;Grass;Poaceae;C4;08.06.2023;2023;6;8;S0002;Marsh Farm Country Park;Essex;UK;Adult;Species
G174;Common reed;Phragmites australis;Plant;Grass et al;Grass;Poaceae;C4;08.06.2023;2023;6;8;S0002;Marsh Farm Country Park;Essex;UK;Adult;Species
F0865;Nipplewort;Lapsana communis;Plant;Flower;Flower;Asteraceae;C5;09.06.2023;2023;6;9;S0004;Carisbrooke Drive;Essex;UK;Adult;Species
F1336;Common Nettle;Urtica dioica;Plant;Flower;Flower;Urticaceae;C5;09.06.2023;2023;6;9;S0004;Carisbrooke Drive;Essex;UK;Adult;Species
B27;Common Blue;Polyommatus icarus;Insect;Lepidoptera;Butterfly;Lycaenidae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
B30;Holly Blue;Celastrina argiolus;Insect;Lepidoptera;Butterfly;Lycaenidae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0014;Meadow Buttercup;Ranunculus acris;Plant;Flower;Flower;Ranunculaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0089;Hedge mustard;Sisymbrium officinale;Plant;Flower;Flower;Brassicaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0166;Hoary Cress;Cardaria draba;Plant;Flower;Flower;Brassicaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0300;Creeping Cinquefoil;Potentilla reptans;Plant;Flower;Flower;Rosaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0342;Common Bird's-foot Trefoil;Lotus corniculatus;Plant;Flower;Flower;Fabaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0358;Common Vetch;Vicia sativa;Plant;Flower;Flower;Fabaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0369;Grass Vetchling;Lathyrus nissolia;Plant;Flower;Flower;Fabaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0384;White Clover;Trifolium repens;Plant;Flower;Flower;Fabaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0480;Cut-leaved Crane's-bill;Geranium dissectum;Plant;Flower;Flower;Geraniaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0504;Cow Parsley;Anthriscus sylvestris;Plant;Flower;Flower;Apiaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0530;Hemlock;Conium maculatum;Plant;Flower;Flower;Apiaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0555;Hogweed;Heracleum sphondylium;Plant;Flower;Flower;Apiaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0703;Ribwort Plantain;Plantago lanceolata;Plant;Flower;Flower;Plantaginaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0764;Yellow-rattle;Rhinanthus minor;Plant;Flower;Flower;Orobanchaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0812;Cleavers;Galium aparine;Plant;Flower;Flower;Rubiaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0834;Wild Teasel;Dipsacus fullonum;Plant;Flower;Flower;Caprifoliaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0876;Salsify;Tragopogon porrifolius;Plant;Flower;Flower;Asteraceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0879;Smooth Sow-thistle;Sonchus oleraceus;Plant;Flower;Flower;Asteraceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0880;Prickly Sow-thistle;Sonchus asper;Plant;Flower;Flower;Asteraceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0922;Daisy;Bellis perennis;Plant;Flower;Flower;Asteraceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0937;Oxeye Daisy;Leucanthemum vulgare;Plant;Flower;Flower;Asteraceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0939;Pineappleweed;Matricaria matricarioides;Plant;Flower;Flower;Asteraceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F0951;Common Groundsel;Senecio vulgaris;Plant;Flower;Flower;Asteraceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
F1336;Common Nettle;Urtica dioica;Plant;Flower;Flower;Urticaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
CT04;Unbranched Bur-reed ;Sparganium emersum;Plant;Grass et al;Cattail;Typhaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
G029;Perennial rye-grass;Lolium perenne;Plant;Grass et al;Grass;Poaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
G036;Crested Dog's-tail;Cynosurus cristatus;Plant;Grass et al;Grass;Poaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
G047;Rough meadow-grass;Poa trivialis;Plant;Grass et al;Grass;Poaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
G060;Cock's-foot;Dactylis glomerata;Plant;Grass et al;Grass;Poaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
G076;False Oat-grass ;Arrhenatherum elatius;Plant;Grass et al;Grass;Poaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
G089;Yorkshire-fog;Holcus lanatus;Plant;Grass et al;Grass;Poaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
G125;Meadow foxtail;Alopecurus pratensis;Plant;Grass et al;Grass;Poaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
G140;Soft-brome;Bromus hordeaceus;Plant;Grass et al;Grass;Poaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
G166;Wall Barley ;Hordeum murinum;Plant;Grass et al;Grass;Poaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
G174;Common reed;Phragmites australis;Plant;Grass et al;Grass;Poaceae;C6;09.06.2023;2023;6;9;S0001;Woodham Fen;Essex;UK;Adult;Species
B30;Holly Blue;Celastrina argiolus;Insect;Lepidoptera;Butterfly;Lycaenidae;C7;11.06.2023;2023;6;11;S0007;Rettendon Place Footpaths;Essex;UK;Adult;Species
B48;Speckled Wood;Pararge aegeria;Insect;Lepidoptera;Butterfly;Nymphalidae;C7;11.06.2023;2023;6;11;S0007;Rettendon Place Footpaths;Essex;UK;Adult;Species
B55;Meadow Brown;Maniola jurtina;Insect;Lepidoptera;Butterfly;Nymphalidae;C7;11.06.2023;2023;6;11;S0007;Rettendon Place Footpaths;Essex;UK;Adult;Species
M2518;Silver Y;Autographa gamma;Insect;Lepidoptera;Moth;Noctuidae;C7;11.06.2023;2023;6;11;S0007;Rettendon Place Footpaths;Essex;UK;Adult;Species
F0014;Meadow Buttercup;Ranunculus acris;Plant;Flower;Flower;Ranunculaceae;C7;11.06.2023;2023;6;11;S0007;Rettendon Place Footpaths;Essex;UK;Adult;Species
F0354;Hairy Tare;Vicia hirsuta;Plant;Flower;Flower;Fabaceae;C7;11.06.2023;2023;6;11;S0007;Rettendon Place Footpaths;Essex;UK;Adult;Species
F0358;Common Vetch;Vicia sativa;Plant;Flower;Flower;Fabaceae;C7;11.06.2023;2023;6;11;S0007;Rettendon Place Footpaths;Essex;UK;Adult;Species
F0369;Grass Vetchling;Lathyrus nissolia;Plant;Flower;Flower;Fabaceae;C7;11.06.2023;2023;6;11;S0007;Rettendon Place Footpaths;Essex;UK;Adult;Species
F0480;Cut-leaved Crane's-bill;Geranium dissectum;Plant;Flower;Flower;Geraniaceae;C7;11.06.2023;2023;6;11;S0007;Rettendon Place Footpaths;Essex;UK;Adult;Species
F0530;Hemlock;Conium maculatum;Plant;Flower;Flower;Apiaceae;C7;11.06.2023;2023;6;11;S0007;Rettendon Place Footpaths;Essex;UK;Adult;Species
F0555;Hogweed;Heracleum sphondylium;Plant;Flower;Flower;Apiaceae;C7;11.06.2023;2023;6;11;S0007;Rettendon Place Footpaths;Essex;UK;Adult;Species
F0853;Creeping Thistle;Cirsium arvense;Plant;Flower;Flower;Asteraceae;C7;11.06.2023;2023;6;11;S0007;Rettendon Place Footpaths;Essex;UK;Adult;Species
F0880;Prickly Sow-thistle;Sonchus asper;Plant;Flower;Flower;Asteraceae;C7;11.06.2023;2023;6;11;S0007;Rettendon Place Footpaths;Essex;UK;Adult;Species
F1222;Red Campion;Silene dioica;Plant;Flower;Flower;Caryophyllaceae;C7;11.06.2023;2023;6;11;S0007;Rettendon Place Footpaths;Essex;UK;Adult;Species
G029;Perennial rye-grass;Lolium perenne;Plant;Grass et al;Grass;Poaceae;C7;11.06.2023;2023;6;11;S0007;Rettendon Place Footpaths;Essex;UK;Adult;Species
G060;Cock's-foot;Dactylis glomerata;Plant;Grass et al;Grass;Poaceae;C7;11.06.2023;2023;6;11;S0007;Rettendon Place Footpaths;Essex;UK;Adult;Species
G140;Soft-brome;Bromus hordeaceus;Plant;Grass et al;Grass;Poaceae;C7;11.06.2023;2023;6;11;S0007;Rettendon Place Footpaths;Essex;UK;Adult;Species
G151;Barren Brome;Anisantha sterilis;Plant;Grass et al;Grass;Poaceae;C7;11.06.2023;2023;6;11;S0007;Rettendon Place Footpaths;Essex;UK;Adult;Species
B48;Speckled Wood;Pararge aegeria;Insect;Lepidoptera;Butterfly;Nymphalidae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
B55;Meadow Brown;Maniola jurtina;Insect;Lepidoptera;Butterfly;Nymphalidae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0089;Hedge mustard;Sisymbrium officinale;Plant;Flower;Flower;Brassicaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0092;Garlic Mustard;Alliaria petiolata;Plant;Flower;Flower;Brassicaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0207;Heather;Calluna vulgaris;Plant;Flower;Flower;Ericaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0233;Yellow Pimpernel;Lysimachia nemorum;Plant;Flower;Flower;Primulaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0305;Wood Avens;Geum urbanum;Plant;Flower;Flower;Rosaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0384;White Clover;Trifolium repens;Plant;Flower;Flower;Fabaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0407;Broom;Cytisus scoparius;Plant;Flower;Flower;Fabaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0481;Hedgerow Crane's-bill;Geranium pyrenaicum;Plant;Flower;Flower;Geraniaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0483;Dove's-foot Crane's-bill;Geranium molle;Plant;Flower;Flower;Geraniaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0485;Herb-Robert;Geranium robertianum;Plant;Flower;Flower;Geraniaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0494;Small Balsam;Impatiens parviflora;Plant;Flower;Flower;Balsaminaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0496;Ivy;Hedera helix;Plant;Flower;Flower;Araliaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0504;Cow Parsley;Anthriscus sylvestris;Plant;Flower;Flower;Apiaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0550;Wild Angelica;Angelica sylvestris;Plant;Flower;Flower;Apiaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0555;Hogweed;Heracleum sphondylium;Plant;Flower;Flower;Apiaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0615;Green alkanet;Pentaglottis sempervirens;Plant;Flower;Flower;Boraginaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0645;White Dead-nettle;Lamium album;Plant;Flower;Flower;Lamiaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0701;Greater Plantain;Plantago major;Plant;Flower;Flower;Plantaginaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0703;Ribwort Plantain;Plantago lanceolata;Plant;Flower;Flower;Plantaginaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0713;Common Figwort;Scrophularia nodosa;Plant;Flower;Flower;Scrophulariaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0729;Common toadflax;Linaria vulgaris;Plant;Flower;Flower;Plantaginaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0733;Foxglove;Digitalis purpurea;Plant;Flower;Flower;Plantaginaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0738;Heath Speedwell;Veronica officinalis;Plant;Flower;Flower;Plantaginaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0812;Cleavers;Galium aparine;Plant;Flower;Flower;Rubiaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0847;Spear Thistle;Cirsium vulgare;Plant;Flower;Flower;Asteraceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0865;Nipplewort;Lapsana communis;Plant;Flower;Flower;Asteraceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0886;Dandelion sp.;Taraxacum sp.;Plant;Flower;Flower;Asteraceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0922;Daisy;Bellis perennis;Plant;Flower;Flower;Asteraceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0945;Common Ragwort;Senecio jacobaea;Plant;Flower;Flower;Asteraceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F0951;Common Groundsel;Senecio vulgaris;Plant;Flower;Flower;Asteraceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F1040;Bluebell;Hyacinthoides non-scripta;Plant;Flower;Flower;Asparagaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F1175;Greater Stitchwort;Stellaria holostea;Plant;Flower;Flower;Caryophyllaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F1222;Red Campion;Silene dioica;Plant;Flower;Flower;Caryophyllaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F1246;Knotgrass;Polygonum aviculare;Plant;Flower;Flower;Polygonaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F1256;Common Sorrel;Rumex acetosa;Plant;Flower;Flower;Polygonaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F1263;Curled Dock;Rumex crispus;Plant;Flower;Flower;Polygonaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
F1336;Common Nettle;Urtica dioica;Plant;Flower;Flower;Urticaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
G029;Perennial rye-grass;Lolium perenne;Plant;Grass et al;Grass;Poaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
G047;Rough meadow-grass;Poa trivialis;Plant;Grass et al;Grass;Poaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
G060;Cock's-foot;Dactylis glomerata;Plant;Grass et al;Grass;Poaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
G076;False Oat-grass ;Arrhenatherum elatius;Plant;Grass et al;Grass;Poaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
S065;Pendulous Sedge;Carex pendula;Plant;Grass et al;Sedge;Cyperaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
FER15;Bracken;Pteridium aquilinum;Plant;Ferns et al;Fern;Dennstaedtiaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
FER35;Oak Fern;Gymnocarpium dryopteris;Plant;Ferns et al;Fern;Cystopteridaceae;C8;12.06.2023;2023;6;12;S0008;Norsey Wood;Essex;UK;Adult;Species
B55;Meadow Brown;Maniola jurtina;Insect;Lepidoptera;Butterfly;Nymphalidae;C9;16.06.2023;2023;6;16;S0010;Saint Roman;Baden-Wurttemberg;Germany;Adult;Species
BE001;Piedmont Ringlet;Erebia meolans;Insect;Lepidoptera;Butterfly;Nymphalidae;C9;16.06.2023;2023;6;16;S0010;Saint Roman;Baden-Wurttemberg;Germany;Adult;Species
F0233;Yellow Pimpernel;Lysimachia nemorum;Plant;Flower;Flower;Primulaceae;C9;16.06.2023;2023;6;16;S0010;Saint Roman;Baden-Wurttemberg;Germany;Adult;Species
F0288;Bramble;Rubus fruticosus;Plant;Flower;Flower;Rosaceae;C9;16.06.2023;2023;6;16;S0010;Saint Roman;Baden-Wurttemberg;Germany;Adult;Species
F0485;Herb-Robert;Geranium robertianum;Plant;Flower;Flower;Geraniaceae;C9;16.06.2023;2023;6;16;S0010;Saint Roman;Baden-Wurttemberg;Germany;Adult;Species
F0922;Daisy;Bellis perennis;Plant;Flower;Flower;Asteraceae;C9;16.06.2023;2023;6;16;S0010;Saint Roman;Baden-Wurttemberg;Germany;Adult;Species
F0937;Oxeye Daisy;Leucanthemum vulgare;Plant;Flower;Flower;Asteraceae;C9;16.06.2023;2023;6;16;S0010;Saint Roman;Baden-Wurttemberg;Germany;Adult;Species
B03;Essex Skipper;Thymelicus lineola;Insect;Lepidoptera;Butterfly;Hesperiidae;C10;21.06.2023;2023;6;21;S0001;Woodham Fen;Essex;UK;Adult;Species
B52;Marbled White;Melanargia galathea;Insect;Lepidoptera;Butterfly;Nymphalidae;C10;21.06.2023;2023;6;21;S0001;Woodham Fen;Essex;UK;Adult;Species
B55;Meadow Brown;Maniola jurtina;Insect;Lepidoptera;Butterfly;Nymphalidae;C10;21.06.2023;2023;6;21;S0001;Woodham Fen;Essex;UK;Adult;Species
